"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
"1576558","lc8x_l1tp_2016250_1634_2017080_xxxx_tct","2","29","13419.2413793103","265.765424921572","13384","14082","12829","13025.8","13141.8","13731.8","13922.4"
"1576558","lc8x_l1tp_2016250_1634_2017080_xxxx_tct","3","29","12168.4482758621","586.656299122828","12047","13633","11127","11295.2","11582.2","13055.2","13286.8"
"1576558","lc8x_l1tp_2016259_0702_2017080_xxxx_tct","1","31","12242.5161290323","154.352382762678","12209","12717","11971","12062.5","12092","12403","12444"
"1576558","lc8x_l1tp_2016259_0702_2017080_xxxx_tct","2","31","14569.9032258065","584.224577529264","14792","15152","12954","13370.5","13542","15059","15109"
"1576558","lc8x_l1tp_2016259_0702_2017080_xxxx_tct","3","31","9883.77419354839","248.112166795238","9788","10691","9697","9706","9709","10183","10438.5"
"1576558","lc8x_l1tp_2016266_0121_2017080_xxxx_tct","1","29","16955.3103448276","74.3596969602466","16967","17076","16707","16842.8","16865.8","17027","17049"
"1576558","lc8x_l1tp_2016266_0121_2017080_xxxx_tct","2","29","12267.6896551724","48.1056155381616","12275","12335","12123","12184.8","12204.4","12314","12326.2"
"1576558","lc8x_l1tp_2016266_0121_2017080_xxxx_tct","3","29","11186.6551724138","21.4647150027151","11184","11244","11141","11153.4","11167","11211.4","11223.4"
"1576558","lc8x_l1tp_2016291_1932_2017078_xxxx_tct","1","31","14929.3548387097","361.63107797746","15082","15225","13679","14186.5","14474","15191","15199"
"1576558","lc8x_l1tp_2016291_1932_2017078_xxxx_tct","2","31","12465.8709677419","351.369202021225","12492","12968","11639","11753.5","11858","12875","12937"
"1576558","lc8x_l1tp_2016291_1932_2017078_xxxx_tct","3","31","9475.38709677419","456.518322189399","9414","10726","8893","8973.5","8979","10170","10436.5"
"1576558","lc8x_l1tp_2016307_1557_2017077_xxxx_tct","1","31","19567.8387096774","306.867625833919","19614","20039","18973","19039.5","19074","19902","19991.5"
"1576558","lc8x_l1tp_2016307_1557_2017077_xxxx_tct","2","31","14442.0322580645","173.570443695726","14485","14677","14129","14153.5","14204","14647","14659"
"1576558","lc8x_l1tp_2016307_1557_2017077_xxxx_tct","3","31","13306.5161290323","153.269233913777","13353","13506","13020","13039.5","13068","13476","13490"
"1576558","lc8x_l1tp_2016330_2223_2017076_xxxx_tct","1","29","13833.6551724138","209.012692003905","13851","14127","13035","13640.4","13679","14025.8","14050.6"
"1576558","lc8x_l1tp_2016330_2223_2017076_xxxx_tct","2","29","12585.6206896552","272.5163709097","12633","12998","11886","12221.2","12259.8","12870.6","12946.8"
"1576558","lc8x_l1tp_2016330_2223_2017076_xxxx_tct","3","29","9720.79310344828","373.464798428212","9611","10659","9174","9260.2","9319.2","10153.8","10279.4"
"1576558","lc8x_l1tp_2016339_1647_2017076_xxxx_tct","1","30","14486.8333333333","686.883571087477","14580.5","15350","12847","13012.75","13679.2","15280.9","15315.6"
"1576558","lc8x_l1tp_2016339_1647_2017076_xxxx_tct","2","30","12099.4333333333","108.330491563081","12084.5","12559","11979","11983.35","12001.2","12199.1","12236.85"
