"objectid","beeld","band","npixels","mean","sd","median","max","min","q05","q10","q90","q95"
1578117,"lc8x_l1tp_2016243_2124_2017080_xxxx_tct",2,250,13031.788,369.683267037759,13087.5,13724,11817,12229.15,12516.6,13412.2,13505.65
1578117,"lc8x_l1tp_2016243_2124_2017080_xxxx_tct",3,250,9746.928,212.386087625502,9709.5,10605,9358,9445.9,9524.4,10052.5,10231.4
1578117,"lc8x_l1tp_2016250_1634_2017080_xxxx_tct",1,242,12823.5785123967,1135.03557808545,12247,14949,11574,11659.75,11700.5,14505.1,14657.45
1578117,"lc8x_l1tp_2016250_1634_2017080_xxxx_tct",2,242,12398.6239669421,846.116490368687,11933,14187,11495,11624.55,11663,13815.3,13987.45
1578117,"lc8x_l1tp_2016250_1634_2017080_xxxx_tct",3,242,10237.479338843,618.474694473529,10610.5,10863,8952,9135.5,9224.7,10782.8,10795.9
1578117,"lc8x_l1tp_2016259_0702_2017080_xxxx_tct",1,250,12272.88,220.058666876517,12319.5,12609,11871,11956.45,12000.9,12547.1,12561
1578117,"lc8x_l1tp_2016259_0702_2017080_xxxx_tct",2,250,14346.592,724.015937564491,14000.5,15797,12963,13558,13635.8,15506.3,15615.1
1578117,"lc8x_l1tp_2016259_0702_2017080_xxxx_tct",3,250,9937.6,162.672460229964,9961,10575,9562,9629.95,9693,10107.2,10125.1
1578117,"lc8x_l1tp_2016266_0121_2017080_xxxx_tct",1,242,14792.3595041322,114.592362919992,14754.5,15072,14598,14644.1,14667.2,14964.6,15012.75
1578117,"lc8x_l1tp_2016266_0121_2017080_xxxx_tct",2,242,11644.7148760331,87.8267184567477,11615,11875,11530,11548,11556,11796.5,11838.9
1578117,"lc8x_l1tp_2016266_0121_2017080_xxxx_tct",3,242,10772.367768595,59.1213769637287,10763,10900,10617,10678.3,10713,10866.8,10881.95
1578117,"lc8x_l1tp_2016291_1932_2017078_xxxx_tct",1,250,14372.996,352.257168037408,14486.5,14822,12711,13699.6,14025.7,14640.3,14681.85
1578117,"lc8x_l1tp_2016291_1932_2017078_xxxx_tct",2,250,12701.528,497.217205064395,12853.5,13333,10958,11686.1,12075,13238,13264.55
1578117,"lc8x_l1tp_2016291_1932_2017078_xxxx_tct",3,250,9119.144,465.850376793057,8955.5,10889,8545,8603.7,8644.8,9726.6,9995.3
1578117,"lc8x_l1tp_2016307_1557_2017077_xxxx_tct",1,250,19014.2,317.289157770249,19117,19456,18111,18307.8,18522.4,19337.2,19382.55
1578117,"lc8x_l1tp_2016307_1557_2017077_xxxx_tct",2,250,13375.104,109.113170239338,13407,13546,13002,13150.05,13213.8,13485,13503.55
1578117,"lc8x_l1tp_2016307_1557_2017077_xxxx_tct",3,250,11649.288,138.678346511504,11688,11938,11253,11381.75,11446.9,11800.3,11819.55
1578117,"lc8x_l1tp_2016330_2223_2017076_xxxx_tct",1,242,13843.8595041322,317.579991054892,13847,14261,12179,13200.6,13604.7,14189.9,14218.75
1578117,"lc8x_l1tp_2016330_2223_2017076_xxxx_tct",2,242,12676.8595041322,277.522196212527,12733.5,13049,11620,12006.05,12324.1,12956.6,13008.8
1578117,"lc8x_l1tp_2016330_2223_2017076_xxxx_tct",3,242,9751.26859504132,339.522862308833,9696.5,11201,9261,9318.75,9382.6,10123,10551.7
1578117,"lc8x_l1tp_2016339_1647_2017076_xxxx_tct",1,248,14622.4556451613,570.291606323736,14794.5,15190,12144,13114.65,14050.7,15034.7,15101.9
1578117,"lc8x_l1tp_2016339_1647_2017076_xxxx_tct",2,248,11987.1975806452,36.7954911947195,11983,12130,11929,11941,11946.7,12033.3,12057.3
1578117,"lc8x_l1tp_2016339_1647_2017076_xxxx_tct",3,248,9739.66935483871,295.475304235984,9647.5,10812,9388,9446.85,9506.3,10084,10479.1
1578117,"lc8x_l1tp_2016362_2218_2017073_xxxx_tct",1,240,13982.2583333333,339.604076537014,14039,14349,12028,13165.65,13672.3,14268.1,14293.05
1578117,"lc8x_l1tp_2016362_2218_2017073_xxxx_tct",2,240,12610.6541666667,184.322578522756,12644,12829,11865,12184.4,12397.5,12787,12804.05
1578117,"lc8x_l1tp_2016362_2218_2017073_xxxx_tct",3,240,9646.04583333333,343.649990371232,9578,11197,9215,9308.25,9342.9,10027.4,10489.85
1578117,"lc8x_l1tp_2017005_0150_2017071_xxxx_tct",1,249,13856.8313253012,519.65286534992,13999,14391,11563,12717.4,13351,14264.6,14304.2
1578117,"lc8x_l1tp_2017005_0150_2017071_xxxx_tct",2,249,12254.562248996,36.3075619256669,12253,12412,12175,12198.4,12206.8,12294,12321.8
1578117,"lc8x_l1tp_2017005_0150_2017071_xxxx_tct",3,249,9834.82730923695,192.034098684713,9782,10708,9615,9661.8,9686.6,10010,10266.8
1578117,"lc8x_l1tp_2017012_1607_2017070_xxxx_tct",1,242,15654.020661157,209.102020968247,15683.5,15916,14813,15185.15,15463.2,15866,15884.75
1578117,"lc8x_l1tp_2017012_1607_2017070_xxxx_tct",2,242,12396.5041322314,58.8745235770301,12391.5,12676,12303,12320.05,12330.1,12466,12497.95
1578117,"lc8x_l1tp_2017012_1607_2017070_xxxx_tct",3,242,8720.88016528926,73.0750630048828,8731,8824,8316,8588.2,8641.6,8793,8807.95
1578117,"lc8x_l1tp_2017021_0636_2017070_xxxx_tct",1,249,14940.4497991968,952.996902015938,14681,18433,12654,13708,14196.6,16276,16876.4
1578117,"lc8x_l1tp_2017021_0636_2017070_xxxx_tct",2,249,11979.8273092369,65.7772258821146,11994,12077,11701,11864.8,11891.8,12048.4,12061.8
1578117,"lc8x_l1tp_2017021_0636_2017070_xxxx_tct",3,249,9619.23293172691,364.98891106642,9533,10884,9109,9174.6,9250.8,10182.2,10365.4
1578117,"lc8x_l1tp_2017044_1455_2017059_xxxx_tct",1,242,20252.0661157025,937.703358728959,20562,21542,16246,18388.4,18947.7,21161.1,21301.3
1578117,"lc8x_l1tp_2017044_1455_2017059_xxxx_tct",2,242,12472.6198347107,115.835357203212,12508,12689,12039,12232.1,12304.2,12594.6,12609.7
1578117,"lc8x_l1tp_2017044_1455_2017059_xxxx_tct",3,242,13667.8842975207,566.165792325633,13812.5,14419,11864,12608.9,12833.3,14228,14307.4
1578117,"lc8x_l1tp_2017060_1618_2017075_xxxx_tct",1,242,20675.8760330579,3787.39051183434,20579,28446,11684,13154.8,16550.6,25705.7,26587.2
1578117,"lc8x_l1tp_2017060_1618_2017075_xxxx_tct",2,242,13286.5537190083,791.514666987701,13267,14839,11256,11721.2,12420.2,14327.3,14551.5
1578117,"lc8x_l1tp_2017060_1618_2017075_xxxx_tct",3,242,12947.7438016529,1071.24714249986,13019.5,15141,10656,11016.75,11482.9,14430,14699
1578117,"lc8x_l1tp_2017069_0611_2017076_xxxx_tct",1,249,13712.7670682731,336.135320352604,13702,14294,12649,13124,13372.2,14158.4,14207.8
1578117,"lc8x_l1tp_2017069_0611_2017076_xxxx_tct",2,249,11530.156626506,116.528220511902,11534,11718,11107,11301.2,11404.4,11674,11689
1578117,"lc8x_l1tp_2017069_0611_2017076_xxxx_tct",3,249,9960.5421686747,226.915536076796,9961,10807,9597,9651.8,9672,10161.2,10340.6
