"agg15","agg20","agg25","agg30","cutoff","year","band","variable","nr_beelden","perceel","mutlike"
2,2,2,2,2.5,2016,1,"min10",67,1590448,5
3,3,2,1,2.5,2016,1,"min10",74,1591636,7.5
3,0,0,0,1,2016,1,"min10",73,1750897,0
2,1,1,1,2.5,2016,1,"min10",75,1787658,2.5
2,1,0,0,1.5,2016,1,"min10",72,1788190,1.5
3,3,2,2,2.5,2016,1,"min10",72,1793705,7.5
1,1,1,1,2.5,2016,1,"min10",72,1800413,2.5
0,0,0,0,0.5,2016,2,"min10",16,865447,0
1,0,0,0,1,2016,2,"min10",23,876304,0
1,0,0,0,1,2016,2,"min10",68,877219,0
1,1,1,0,2,2016,2,"min10",21,879606,2
2,2,1,1,2.5,2016,2,"min10",71,1576558,5
4,3,1,0,2,2016,2,"min10",73,1578117,6
0,0,0,0,0.5,2016,2,"min10",73,1584957,0
1,1,1,1,2.5,2016,2,"min10",67,1590448,2.5
1,1,0,0,1.5,2016,2,"min10",74,1591636,1.5
2,1,1,1,2.5,2016,2,"min10",73,1750897,2.5
2,2,2,1,2.5,2016,2,"min10",75,1787658,5
0,0,0,0,0.5,2016,2,"min10",72,1788190,0
2,1,0,0,1.5,2016,2,"min10",72,1793705,1.5
1,1,1,1,2.5,2016,2,"min10",72,1800413,2.5
2,1,0,0,1.5,2016,3,"min10",16,865447,1.5
0,0,0,0,0.5,2016,3,"min10",23,876304,0
4,1,1,1,2.5,2016,3,"min10",68,877219,2.5
1,1,1,0,2,2016,3,"min10",21,879606,2
3,1,1,1,2.5,2016,3,"min10",71,1576558,2.5
3,2,1,1,2.5,2016,3,"min10",73,1578117,5
2,2,2,2,2.5,2016,3,"min10",73,1584957,5
2,2,2,1,2.5,2016,3,"min10",67,1590448,5
3,1,0,0,1.5,2016,3,"min10",74,1591636,1.5
4,2,1,1,2.5,2016,3,"min10",73,1750897,5
2,1,0,0,1.5,2016,3,"min10",75,1787658,1.5
3,3,1,1,2.5,2016,3,"min10",72,1788190,7.5
4,2,1,1,2.5,2016,3,"min10",72,1793705,5
3,1,1,1,2.5,2016,3,"min10",72,1800413,2.5
0,0,0,0,0.5,2017,1,"min10",16,865447,0
2,0,0,0,1,2017,1,"min10",9,876228,0
1,0,0,0,1,2017,1,"min10",9,876229,0
0,0,0,0,0.5,2017,1,"min10",23,876304,0
3,2,1,1,2.5,2017,1,"min10",68,877219,5
1,0,0,0,1,2017,1,"min10",9,877724,0
